time,vwap
2020-05-01 12:51,176.8663
2020-05-01 12:50,176.8691
2020-05-01 12:49,176.8741
2020-05-01 12:48,176.8805
2020-05-01 12:47,176.8837
2020-05-01 12:46,176.8894
2020-05-01 12:45,176.8958
2020-05-01 12:44,176.8998
2020-05-01 12:43,176.9061
2020-05-01 12:42,176.9371
2020-05-01 12:41,176.9483
2020-05-01 12:40,176.9606
2020-05-01 12:39,176.9706
2020-05-01 12:38,176.9754
2020-05-01 12:37,176.9795
2020-05-01 12:36,176.9828
2020-05-01 12:35,176.9844
2020-05-01 12:34,176.9871
2020-05-01 12:33,176.9913
2020-05-01 12:32,176.9953
2020-05-01 12:31,176.9989
2020-05-01 12:30,177.0037
2020-05-01 12:29,177.0080
2020-05-01 12:28,177.0116
2020-05-01 12:27,177.0136
2020-05-01 12:26,177.0170
2020-05-01 12:25,177.0188
2020-05-01 12:24,177.0235
2020-05-01 12:23,177.0285
2020-05-01 12:22,177.0325
2020-05-01 12:21,177.0377
2020-05-01 12:20,177.0421
2020-05-01 12:19,177.0472
2020-05-01 12:18,177.0515
2020-05-01 12:17,177.0542
2020-05-01 12:16,177.0585
2020-05-01 12:15,177.0650
2020-05-01 12:14,177.0686
2020-05-01 12:13,177.0739
2020-05-01 12:12,177.0790
2020-05-01 12:11,177.0828
2020-05-01 12:10,177.0883
2020-05-01 12:09,177.0933
2020-05-01 12:08,177.0991
2020-05-01 12:07,177.1039
2020-05-01 12:06,177.1097
2020-05-01 12:05,177.1188
2020-05-01 12:04,177.1274
2020-05-01 12:03,177.1339
2020-05-01 12:02,177.1397
2020-05-01 12:01,177.1478
2020-05-01 12:00,177.1580
2020-05-01 11:59,177.1620
2020-05-01 11:58,177.1662
2020-05-01 11:57,177.1738
2020-05-01 11:56,177.1780
2020-05-01 11:55,177.1829
2020-05-01 11:54,177.1851
2020-05-01 11:53,177.1893
2020-05-01 11:52,177.1942
2020-05-01 11:51,177.1966
2020-05-01 11:50,177.1998
2020-05-01 11:49,177.2025
2020-05-01 11:48,177.2059
2020-05-01 11:47,177.2099
2020-05-01 11:46,177.2125
2020-05-01 11:45,177.2159
2020-05-01 11:44,177.2164
2020-05-01 11:43,177.2166
2020-05-01 11:42,177.2167
2020-05-01 11:41,177.2171
2020-05-01 11:40,177.2175
2020-05-01 11:39,177.2179
2020-05-01 11:38,177.2185
2020-05-01 11:37,177.2206
2020-05-01 11:36,177.2220
2020-05-01 11:35,177.2229
2020-05-01 11:34,177.2242
2020-05-01 11:33,177.2264
2020-05-01 11:32,177.2297
2020-05-01 11:31,177.2318
2020-05-01 11:30,177.2335
2020-05-01 11:29,177.2340
2020-05-01 11:28,177.2345
2020-05-01 11:27,177.2340
2020-05-01 11:26,177.2342
2020-05-01 11:25,177.2346
2020-05-01 11:24,177.2368
2020-05-01 11:23,177.2369
2020-05-01 11:22,177.2369
2020-05-01 11:21,177.2367
2020-05-01 11:20,177.2364
2020-05-01 11:19,177.2366
2020-05-01 11:18,177.2357
2020-05-01 11:17,177.2347
2020-05-01 11:16,177.2329
2020-05-01 11:15,177.2306
2020-05-01 11:14,177.2274
2020-05-01 11:13,177.2260
2020-05-01 11:12,177.2243
2020-05-01 11:11,177.2225
2020-05-01 11:10,177.2207
2020-05-01 11:09,177.2188
2020-05-01 11:08,177.2172
2020-05-01 11:07,177.2157
2020-05-01 11:06,177.2138
2020-05-01 11:05,177.2124
2020-05-01 11:04,177.2107
2020-05-01 11:03,177.2073
2020-05-01 11:02,177.2040
2020-05-01 11:01,177.2011
2020-05-01 11:00,177.1943
2020-05-01 10:59,177.1848
2020-05-01 10:58,177.1719
2020-05-01 10:57,177.1482
2020-05-01 10:56,177.1350
2020-05-01 10:55,177.1208
2020-05-01 10:54,177.1105
2020-05-01 10:53,177.0994
2020-05-01 10:52,177.0883
2020-05-01 10:51,177.0793
2020-05-01 10:50,177.0659
2020-05-01 10:49,177.0608
2020-05-01 10:48,177.0553
2020-05-01 10:47,177.0526
2020-05-01 10:46,177.0488
2020-05-01 10:45,177.0448
2020-05-01 10:44,177.0392
